date(日期),time(时间),s-ip(服务器 IP 地址),cs-method(请求方法),cs-uri-stem(URI 资源 ),cs-uri-query(URI 查询),s-port(服务器端口),c-ip(客户端 IP 地址),cs(User-Agent)(浏览器类型),sc-status(状态码)
2023-02-17,02:33:17,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597984993,881,58.17.43.9,Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0),200
2023-02-17,03:15:18,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676598871782,881,202.101.226.218,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+Shuame;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),200
2023-02-17,03:16:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676598871790,881,202.101.226.218,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+Shuame;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),200
2023-02-17,03:16:56,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676603958552,881,202.101.226.218,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+Shuame;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),200
2023-02-17,03:37:53,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676605196115,881,202.101.226.218,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+Shuame;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),200
2023-02-17,03:38:20,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676605196122,881,202.101.226.218,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+Shuame;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),200
2023-02-17,05:16:14,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676610975683,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:16:52,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676610975690,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:18:25,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676610975703,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:26:07,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676610975714,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:26:32,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676610975721,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:37:53,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676605196131,881,202.101.226.218,Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+Shuame;+.NET+CLR+3.0.4506.2152;+.NET+CLR+3.5.30729;+.NET4.0C;+.NET4.0E),200
2023-02-17,05:55:03,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613230892,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613330963,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:57:56,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613330973,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:59:10,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613330984,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:00:25,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613330995,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:01:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613331006,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:02:33,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613766586,881,218.65.10.95,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:03:49,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613766599,881,218.65.10.95,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:05:07,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613331025,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:07:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613331055,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:09:55,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613331067,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:23:32,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613766623,881,218.65.10.95,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,06:25:09,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613766630,881,218.65.10.95,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:02:04,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676617321444,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:03:21,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676617321452,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:04:05,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676617438676,881,110.90.119.209,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:05:24,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676617321474,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:08:14,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676617321482,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:08:29,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676617321489,881,223.83.213.149,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:14:46,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676618102818,881,218.87.91.42,Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,07:16:01,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676618102830,881,218.87.91.42,Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,08:23:05,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597985004,881,58.17.43.9,Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0),200
2023-02-17,08:23:33,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597985014,881,58.17.43.9,Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0),200
2023-02-17,08:24:04,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676597985024,881,58.17.43.9,Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0),200
